Date,True,dLinear,TimesNet,True Prod,Prod
2023-08-13 22:00:00,6.9972997,7.564776,7.1129503,15.1748,20.384354
2023-08-13 23:00:00,6.1655,7.2044086,6.913173,7.7219753,11.343311
2023-08-14 00:00:00,6.8739667,7.1001177,6.4184947,1.000725,2.5332515
2023-08-14 01:00:00,5.93712,7.0840273,6.3175,1.8112749,1.6651343
2023-08-14 02:00:00,6.79135,7.074073,6.4228597,12.770974,12.287421
2023-08-14 03:00:00,5.952113,6.9567456,6.472089,19.595,18.41835
2023-08-14 04:00:00,6.1726747,7.01556,6.423227,23.72875,23.013033
2023-08-14 05:00:00,6.28294,7.0054727,6.380597,25.623825,25.6297
2023-08-14 06:00:00,6.55865,7.103653,6.4757066,25.586025,26.374243
2023-08-14 07:00:00,4.8083997,7.136079,6.5357103,24.135225,25.269981
2023-08-14 08:00:00,6.1654,7.2695518,6.556758,20.778675,21.346378
2023-08-14 09:00:00,7.6765,7.294667,6.7562113,14.9417,16.151833
2023-08-14 10:00:00,8.813366,7.514118,7.422099,7.2222,6.056984
2023-08-14 11:00:00,8.039733,7.9165897,8.336704,0.94417423,1.178102
2023-08-14 12:00:00,8.27,8.12601,9.272728,2.3056753,1.1094536
2023-08-14 13:00:00,8.9062,8.11651,9.511716,12.6892,11.089368
2023-08-14 14:00:00,9.010034,8.277836,9.595652,18.963224,16.37051
2023-08-14 15:00:00,7.8446746,8.33793,9.532637,22.641474,20.726974
2023-08-14 16:00:00,9.0546,8.267108,9.419746,24.673151,24.637344
2023-08-14 17:00:00,9.7641,8.391501,9.093299,24.913124,25.258112
2023-08-14 17:00:00,9.7641,9.145685,9.075425,24.151775,23.96952
2023-08-14 18:00:00,8.1104,9.294394,9.121753,21.147823,19.326622
2023-08-14 19:00:00,8.0321665,9.352773,9.121786,15.741175,11.741316
2023-08-14 20:00:00,8.160683,9.052,8.82736,8.046624,7.086324
2023-08-14 21:00:00,9.095575,8.69429,8.371186,1.0865248,1.2339517
2023-08-14 22:00:00,7.073967,8.066945,7.5623584,2.4293003,1.9320991
2023-08-14 23:00:00,7.5223503,7.730998,6.8259935,9.669075,13.29299
2023-08-15 00:00:00,7.1178336,7.4958243,6.4809256,18.883026,17.759645
2023-08-15 01:00:00,6.819,7.3594127,6.5475006,16.138,16.893707
2023-08-15 02:00:00,6.722567,7.112454,6.5020227,22.2446,24.973368
2023-08-15 03:00:00,6.2663198,6.995454,6.305143,25.374199,23.080685
2023-08-15 04:00:00,4.8159,6.971322,6.25665,6.5249753,7.2734995
2023-08-15 05:00:00,6.8603964,7.032519,6.1421795,4.3382006,10.512588
2023-08-15 06:00:00,6.8106604,7.0475283,6.181875,2.988525,4.932098
2023-08-15 07:00:00,6.7488,7.191403,6.0453663,2.2379751,3.080066
2023-08-15 08:00:00,6.705125,7.337232,6.266141,0.08927486,0.8886225
2023-08-15 09:00:00,6.25942,7.6985774,6.741161,0.79219866,1.4344301
2023-08-15 10:00:00,8.7991,8.236155,7.3251085,2.8382504,4.037055
2023-08-15 11:00:00,7.363633,8.667389,8.083474,10.444224,8.550514
2023-08-15 12:00:00,8.945233,8.85258,8.106627,19.37925,19.99544
2023-08-15 13:00:00,8.9513,9.0507,8.07733,18.108349,16.637342
2023-08-15 14:00:00,7.5411334,9.158712,8.391844,25.898575,27.694187
2023-08-15 15:00:00,8.9755,9.118547,8.315458,24.69355,24.502348
2023-08-15 16:00:00,9.012211,9.200194,8.284774,9.338675,14.496023
2023-08-15 16:00:00,9.012211,9.18652,9.489744,13.986401,14.885928
2023-08-15 17:00:00,9.014634,9.259935,9.036991,6.551475,3.7926478
2023-08-15 18:00:00,9.0149,9.271303,8.901527,0.44927487,1.2607446
2023-08-15 19:00:00,9.0184,9.091922,8.817914,2.534025,1.7429926
2023-08-15 20:00:00,8.466766,8.865321,8.686877,9.716625,7.3895006
2023-08-15 21:00:00,6.895967,8.345271,8.301132,19.026375,18.84284
2023-08-15 22:00:00,6.30715,7.9971037,7.3313046,12.522375,10.346281
2023-08-15 23:00:00,6.74675,7.673694,6.616514,10.865575,15.814159
2023-08-16 00:00:00,5.3359,7.4789844,6.466672,19.893,18.611843
2023-08-16 01:00:00,6.7711,7.261783,6.240417,20.80705,22.992144
2023-08-16 02:00:00,6.7781663,7.144317,6.353173,10.40545,8.876793
2023-08-16 03:00:00,5.8292003,6.980421,6.3023124,5.2870007,8.222906
2023-08-16 04:00:00,6.0111003,6.973429,6.277491,2.3636754,4.469396
2023-08-16 05:00:00,6.6554503,7.08529,6.2201877,0.20887545,1.3597915
2023-08-16 06:00:00,5.91204,7.230065,6.4156046,0.83970064,0.9897289
2023-08-16 07:00:00,6.6646748,7.197865,6.346921,7.4840503,2.1695943
2023-08-16 08:00:00,6.903567,7.2975745,6.3708577,15.137725,11.632151
2023-08-16 09:00:00,6.7269,7.5878205,7.236829,20.458574,23.313364
